UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-06-22T14:14:48+00:00,59.4665799,24.8301204,101.98,125.09,0.1,0.52,338501,2.29,-13.23,3.7,20.8,0.98,2.43
2024-06-22T14:14:49+00:00,59.4665758,24.8301305,101.6,124.23,0.38,0.54,338501,2.36,-16.0,3.7,20.8,1.5,2.55
2024-06-22T14:14:50+00:00,59.4665712,24.830137,101.17,137.34,0.44,0.62,338501,3.3,-17.18,3.7,20.8,1.64,4.64
2024-06-22T14:14:51+00:00,59.4665653,24.8301428,100.04,134.85,0.42,0.63,338502,3.31,-19.43,3.7,20.8,1.66,4.35
2024-06-22T14:14:52+00:00,59.4665619,24.8301507,98.68,129.28,0.45,0.71,338502,3.34,-22.04,3.7,20.8,1.47,3.07
2024-06-22T14:14:53+00:00,59.4665569,24.8301608,97.27,136.02,0.49,0.78,338502,3.61,-23.1,3.7,20.8,1.51,3.09
2024-06-22T14:14:54+00:00,59.4665514,24.8301684,95.31,140.65,0.53,0.85,338503,3.75,-23.19,3.7,20.8,1.89,4.17
2024-06-22T14:14:55+00:00,59.4665447,24.8301765,92.6,143.03,0.57,0.93,338503,3.74,-21.96,3.7,20.8,2.04,4.91
2024-06-22T14:14:56+00:00,59.4665373,24.8301865,89.7,133.19,0.6,1,338504,3.72,-20.16,3.7,20.8,1.75,3.98
2024-06-22T14:14:57+00:00,59.4665312,24.8301968,86.3,133.72,0.62,1.03,338505,3.69,-19.75,3.7,20.8,1.7,3.17
2024-06-22T14:14:58+00:00,59.4665253,24.8302147,82.17,127.7,0.7,1.18,338505,3.15,-21.93,3.7,20.8,1.68,3.2
2024-06-22T14:14:59+00:00,59.4665183,24.8302361,77.27,118.2,0.83,1.34,338506,3.05,-24.11,3.7,20.8,1.75,3.16
2024-06-22T14:15:00+00:00,59.4665132,24.8302653,71.46,112.51,0.94,1.5,338507,3.11,-25.22,3.7,20.8,1.78,3.21
2024-06-22T14:15:01+00:00,59.4665094,24.8302971,64.8,105.63,1.26,1.69,338508,4.56,-23.85,3.7,20.8,1.8,2.41
2024-06-22T14:15:02+00:00,59.4665066,24.8303298,57.58,99.89,1.46,1.84,338509,4.93,-23.27,3.7,20.8,1.85,2.13
2024-06-22T14:15:03+00:00,59.4665056,24.8303656,49.55,91.18,1.55,2.01,338511,5.09,-19.51,3.7,20.8,2.01,2.68
2024-06-22T14:15:04+00:00,59.4665079,24.8304046,40.9,82.04,1.5,2.14,338512,5.16,-12.71,3.6,20.8,2.17,3.11
2024-06-22T14:15:05+00:00,59.466515,24.8304446,32.71,69.18,1.75,2.19,338514,6.7,6.77,3.6,20.8,2.23,3.15
2024-06-22T14:15:06+00:00,59.4665266,24.8304791,25.3,58.75,1.77,2.26,338516,6.77,12.89,3.5,20.8,2.17,2.87
2024-06-22T14:15:07+00:00,59.4665402,24.8305102,18.29,48.65,1.96,2.31,338518,6.72,15.05,3.5,20.8,2.1,2.07
2024-06-22T14:15:08+00:00,59.4665567,24.8305384,11.29,39.35,1.99,2.39,338520,5.7,18.38,3.4,20.8,2.11,1.65
2024-06-22T14:15:09+00:00,59.4665751,24.8305636,4.46,31.24,2.1,2.49,338522,5.19,21.79,3.4,20.8,2.3,2.4
2024-06-22T14:15:10+00:00,59.4665971,24.8305826,358.25,22.66,2.18,2.51,338524,5.09,23.79,3.4,20.8,2.36,3.17
2024-06-22T14:15:11+00:00,59.4666209,24.830595,352.44,13.26,2.22,2.56,338526,5.11,31.5,3.3,20.8,2.14,2.66
2024-06-22T14:15:12+00:00,59.4666445,24.8306007,346.84,5.56,2.3,2.64,338528,5.12,35.31,3.3,20.8,2.06,2.0
2024-06-22T14:15:13+00:00,59.4666662,24.8306035,341.47,359.33,2.38,2.67,338531,5.13,38.98,3.3,20.8,2.2,2.31
2024-06-22T14:15:14+00:00,59.4666903,24.8305987,336.61,351.66,2.42,2.7,338533,5.12,44.81,3.2,20.8,2.31,3.2
2024-06-22T14:15:15+00:00,59.4667147,24.8305889,331.89,346.48,2.45,2.73,338535,5.07,45.15,3.2,20.8,2.41,4.07
2024-06-22T14:15:16+00:00,59.4667366,24.8305732,328.01,338.6,2.63,2.76,338538,4.29,44.42,3.3,20.8,2.42,4.4
2024-06-22T14:15:17+00:00,59.4667583,24.8305518,325.16,331.45,2.56,2.75,338540,4.18,42.29,3.3,20.8,2.39,3.71
2024-06-22T14:15:18+00:00,59.4667787,24.8305275,322.75,327.29,2.61,2.81,338543,4.19,39.59,3.3,20.8,2.17,2.24
2024-06-22T14:15:19+00:00,59.4667999,24.8304989,320.67,324.5,2.64,2.84,338546,4.18,39.88,3.3,20.8,2.09,1.67
2024-06-22T14:15:20+00:00,59.4668207,24.8304688,318.75,322.66,2.68,2.83,338548,4.17,43.3,3.3,20.8,2.19,2.04
2024-06-22T14:15:21+00:00,59.4668414,24.8304374,316.98,320.66,2.73,2.88,338551,4.14,46.79,3.3,20.8,2.26,2.65
2024-06-22T14:15:22+00:00,59.4668621,24.8304036,315.23,318.65,2.72,2.91,338554,3.86,47.01,3.2,20.8,2.27,3.03
2024-06-22T14:15:23+00:00,59.4668809,24.8303677,314.17,315.12,2.77,2.93,338556,3.42,52.65,3.3,20.8,2.17,2.72
2024-06-22T14:15:24+00:00,59.4668982,24.8303299,313.14,312.76,2.83,2.94,338559,2.85,57.06,3.3,20.8,1.83,0.82
