UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-06-14T09:05:00+00:00,59.4799886,24.8182023,342.57,353.35,1.34,1.34,129021,5.2,-21.34,7.0,16.8,0.26,6.56
2024-06-14T09:05:01+00:00,59.4800003,24.8182001,342.28,352.0,1.33,1.29,129022,4.69,-21.58,6.9,16.8,0.92,6.95
2024-06-14T09:05:02+00:00,59.4800118,24.8181978,341.8,353.39,1.32,1.31,129024,4.61,-21.97,6.9,16.8,0.48,6.7
2024-06-14T09:05:03+00:00,59.4800233,24.8181948,340.94,353.95,1.41,1.28,129025,4.62,-22.29,7.0,16.8,0.53,6.33
2024-06-14T09:05:04+00:00,59.4800316,24.818194,339.88,353.33,1.26,1.29,129026,4.64,-21.22,7.0,16.8,0.45,6.35
2024-06-14T09:05:05+00:00,59.4800448,24.8181935,337.47,356.89,1.29,1.3,129028,4.64,-20.7,7.0,16.8,1.04,6.33
2024-06-14T09:05:06+00:00,59.4800581,24.8181921,333.35,0.97,1.22,1.39,129029,4.64,-20.13,7.0,16.8,0.15,5.8
2024-06-14T09:05:07+00:00,59.4800704,24.8181924,328.05,359.35,1.24,1.39,129030,4.65,-19.15,7.0,16.8,0.4,4.88
2024-06-14T09:05:08+00:00,59.4800829,24.8181925,322.03,354.14,1.21,1.4,129030,4.64,-17.36,7.0,16.8,0.66,4.53
2024-06-14T09:05:09+00:00,59.4800942,24.8181916,316.22,348.23,1.15,1.34,129032,4.61,-14.74,7.0,16.8,0.96,4.04
2024-06-14T09:05:10+00:00,59.4801051,24.8181867,309.55,344.13,1.07,1.36,129033,4.58,-12.67,7.0,16.8,-0.42,2.76
2024-06-14T09:05:11+00:00,59.4801149,24.8181802,302.71,336.99,1.1,1.34,129035,4.57,-10.05,7.0,16.8,0.49,1.87
2024-06-14T09:05:12+00:00,59.4801255,24.8181701,294.96,332.17,1.05,1.39,129036,4.43,1.01,7.0,16.8,0.36,1.97
2024-06-14T09:05:13+00:00,59.4801359,24.8181565,287.68,321.3,1.07,1.27,129037,4.43,10.55,7.0,16.8,0.45,1.7
2024-06-14T09:05:14+00:00,59.4801446,24.8181397,280.87,309.28,1.05,1.25,129038,4.41,17.81,7.0,16.8,-0.17,1.03
2024-06-14T09:05:15+00:00,59.4801515,24.818121,274.34,302.2,1.02,1.29,129039,4.38,23.37,7.0,16.8,0.3,-0.52
2024-06-14T09:05:16+00:00,59.4801563,24.8180997,268.07,291.41,1.06,1.26,129040,4.26,27.94,7.0,16.8,-0.45,-1.8
2024-06-14T09:05:17+00:00,59.4801602,24.8180802,262.36,283.91,1.11,1.27,129041,4.1,37.16,7.0,16.8,-0.36,-1.61
2024-06-14T09:05:18+00:00,59.4801629,24.8180569,255.99,279.26,1.22,1.4,129042,4.1,46.21,7.0,16.8,0.44,-1.6
