UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-06-19T15:40:51+00:00,59.4733119,24.7928956,241.0,243.95,3.49,3.15,319689,13.94,27.61,25.8,17.0,-6.04,-26.04
2024-06-19T15:40:52+00:00,59.4732993,24.7928424,241.87,239.94,3.8,3.51,319692,13.91,27.58,25.9,17.0,-6.53,-26.94
2024-06-19T15:40:53+00:00,59.4732857,24.7927899,245.97,251.05,3.42,3.27,319696,14.68,27.82,25.9,17.0,-6.08,-24.9
2024-06-19T15:40:54+00:00,59.4732801,24.7927333,242.26,260.9,3.23,3.31,319699,14.73,28.33,25.9,17.0,-4.32,-21.4
2024-06-19T15:40:55+00:00,59.4732723,24.7926776,239.63,251.77,3.49,3.18,319702,13.45,27.79,25.9,17.0,-5.36,-21.77
2024-06-19T15:40:56+00:00,59.4732599,24.7926247,237.83,238.21,3.2,3.59,319706,12.02,27.27,26.0,17.0,-6.25,-23.44
2024-06-19T15:40:57+00:00,59.4732446,24.7925731,240.56,247.28,3.47,3.17,319709,13.16,26.92,26.0,17.0,-5.06,-25.21
2024-06-19T15:40:58+00:00,59.4732327,24.7925178,241.64,245.75,3.48,3.39,319712,13.19,26.99,26.1,17.0,-6.52,-24.65
2024-06-19T15:40:59+00:00,59.4732224,24.7924638,241.5,250.78,3.23,3.27,319716,13.22,27.44,26.1,17.0,-4.85,-23.79
2024-06-19T15:41:00+00:00,59.4732128,24.7924104,240.95,250.93,3.22,3.21,319719,13.36,27.46,26.1,17.0,-5.17,-23.36
2024-06-19T15:41:01+00:00,59.4732022,24.7923563,240.74,245.19,3.23,3.27,319722,13.35,27.47,26.1,17.0,-6.55,-23.53
2024-06-19T15:41:02+00:00,59.4731916,24.7923027,238.54,247.37,3.4,3.51,319725,13.28,27.81,26.0,17.0,-6.23,-23.49
2024-06-19T15:41:03+00:00,59.4731786,24.7922503,238.59,246.51,3.33,3.31,319729,13.24,27.23,26.1,17.0,-5.47,-25.12
2024-06-19T15:41:04+00:00,59.4731643,24.7921959,241.31,245.47,3.41,3.22,319732,12.96,27.13,26.1,17.0,-5.53,-25.71
2024-06-19T15:41:05+00:00,59.4731535,24.7921405,241.8,245.19,3.43,3.38,319735,12.84,27.16,26.2,17.0,-5.86,-24.36
