UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-07-15T08:05:00+00:00,59.4784608,24.8169197,4.53,2.62,2.01,2.11,476365,3.07,-82.95,7.6,20.2,-0.43,3.17
2024-07-15T08:05:01+00:00,59.47848,24.8169218,5.8,2.43,2.06,2.16,476367,3.09,-85.62,7.6,20.2,0.26,2.82
2024-07-15T08:05:02+00:00,59.478499,24.8169256,6.42,9.39,2.15,2.13,476369,3.53,-88.16,7.6,20.2,0.65,3.43
2024-07-15T08:05:03+00:00,59.4785176,24.8169346,6.53,10.96,2.06,2.12,476372,3.54,-89.8,7.6,20.2,0.02,3.9
2024-07-15T08:05:04+00:00,59.4785359,24.8169414,7.06,10.73,2.09,2.09,476374,3.58,-92.37,7.6,20.2,0.44,3.2
2024-07-15T08:05:05+00:00,59.4785549,24.8169467,6.78,12.2,2.12,2.14,476376,4.36,-92.11,7.6,20.2,-0.27,2.9
2024-07-15T08:05:06+00:00,59.4785745,24.8169541,6.62,9.83,2.18,2.18,476378,4.59,-89.96,7.6,20.2,-0.34,2.37
2024-07-15T08:05:07+00:00,59.4785943,24.8169608,5.94,9.77,2.11,2.26,476380,4.57,-88.94,7.6,20.2,-0.09,2.22
2024-07-15T08:05:08+00:00,59.4786142,24.8169658,5.44,8.13,2.2,2.21,476382,4.51,-88.57,7.5,20.2,0.62,2.52
2024-07-15T08:05:09+00:00,59.4786335,24.8169745,4.3,9.52,1.96,2.11,476384,3.64,-89.25,7.5,20.2,0.61,3.33
2024-07-15T08:05:10+00:00,59.4786515,24.816984,2.46,17.52,2.15,2.17,476386,3.54,-91.58,7.6,20.2,0.53,4.02
2024-07-15T08:05:11+00:00,59.4786694,24.8169953,0.44,15.01,2.04,2.12,476388,3.47,-90.85,7.8,20.2,-0.45,3.95
2024-07-15T08:05:12+00:00,59.4786885,24.8170005,358.6,4.43,2.08,2.22,476390,3.5,-91.75,7.6,20.2,-0.69,2.39
2024-07-15T08:05:13+00:00,59.4787083,24.8170031,357.92,3.11,2.18,2.2,476392,3.61,-93.14,7.5,20.2,0.7,3.6
2024-07-15T08:05:14+00:00,59.4787282,24.8170043,357.55,0.18,2.14,2.23,476395,3.69,-92.25,7.5,20.2,0.72,5.19
2024-07-15T08:05:15+00:00,59.4787479,24.8170036,357.59,358.79,2.18,2.16,476397,3.67,-91.9,7.5,20.2,0.46,5.22
2024-07-15T08:05:16+00:00,59.4787678,24.8170035,357.66,1.88,2.22,2.21,476399,3.68,-90.58,7.5,20.2,0.28,4.97
2024-07-15T08:05:17+00:00,59.4787877,24.8170052,358.49,3.15,2.32,2.17,476401,3.71,-90.19,7.6,20.2,0.6,4.8
