UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-06-11T15:11:39+00:00,59.4665722,24.8301396,111.25,144.48,0.41,0.89,87187,3.45,134.44,3.8,18.2,1.11,2.05
2024-06-11T15:11:40+00:00,59.4665661,24.8301472,109.82,140.39,0.54,0.98,87187,3.4,138.06,3.8,18.2,0.98,2.41
2024-06-11T15:11:41+00:00,59.4665583,24.8301573,107.62,142.16,0.79,1.08,87188,3.42,141.61,3.8,18.2,1.4,3.26
2024-06-11T15:11:42+00:00,59.4665533,24.8301738,104.5,140.31,0.85,1.22,87189,3.42,151.95,3.8,18.2,2.41,3.63
2024-06-11T15:11:43+00:00,59.4665453,24.8301889,100.47,139.99,0.89,1.26,87189,3.42,162.37,3.8,18.2,1.46,2.97
2024-06-11T15:11:44+00:00,59.466538,24.8302158,95.66,134.47,0.89,1.47,87190,3.42,169.21,3.8,18.2,1.67,3.08
2024-06-11T15:11:45+00:00,59.4665311,24.8302392,90.21,133.02,0.98,1.53,87191,3.45,172.3,3.8,18.2,1.73,3.96
2024-06-11T15:11:46+00:00,59.4665217,24.8302565,83.79,127.15,1.16,1.62,87192,3.46,175.53,3.8,18.2,1.85,4.65
2024-06-11T15:11:47+00:00,59.4665124,24.8302802,76.5,121.64,1.17,1.77,87193,3.47,-178.48,3.8,18.2,1.79,4.89
2024-06-11T15:11:48+00:00,59.466506,24.8303041,68.93,111.31,1.22,1.78,87195,3.45,-169.25,3.7,18.2,1.73,4.74
2024-06-11T15:11:49+00:00,59.4665017,24.8303375,60.98,100.81,1.39,1.84,87196,3.43,-152.01,3.7,18.2,1.63,4.25
2024-06-11T15:11:50+00:00,59.4664988,24.8303754,53.12,93.4,1.44,1.89,87197,3.42,-138.63,3.7,18.2,1.53,4.18
2024-06-11T15:11:51+00:00,59.4664974,24.8304074,45.46,81.47,1.47,1.88,87199,3.42,-130.66,3.7,18.2,1.68,4.55
2024-06-11T15:11:52+00:00,59.4665035,24.8304452,38.29,72.8,1.6,1.9,87200,3.42,-120.38,3.6,18.2,1.7,4.56
2024-06-11T15:11:53+00:00,59.4665106,24.8304763,31.32,62.91,1.58,1.89,87202,3.45,-111.71,3.5,18.2,1.63,4.25
2024-06-11T15:11:54+00:00,59.4665188,24.8305063,24.77,53.56,1.57,1.91,87203,3.49,-109.57,3.5,18.2,1.69,4.14
2024-06-11T15:11:55+00:00,59.4665308,24.8305358,18.54,44.7,1.64,1.96,87205,4.5,-107.63,3.4,18.2,1.72,4.34
2024-06-11T15:11:56+00:00,59.4665449,24.8305594,12.27,37.43,1.72,2.02,87207,5.05,-101.62,3.4,18.2,1.71,4.15
2024-06-11T15:11:57+00:00,59.466559,24.8305794,5.93,31.93,1.78,2.04,87208,5.05,-81.34,3.4,18.2,1.72,4.04
2024-06-11T15:11:58+00:00,59.4665766,24.8305967,359.57,24.3,1.78,2.1,87210,5.02,-62.23,3.4,18.2,1.78,4.26
2024-06-11T15:11:59+00:00,59.4665969,24.830615,353.2,17.74,1.84,2.13,87212,4.55,-40.48,3.4,18.2,1.78,4.28
2024-06-11T15:12:00+00:00,59.466616,24.830623,347.41,8.55,1.9,2.14,87214,4.53,-35.99,3.4,18.2,1.74,4.06
2024-06-11T15:12:01+00:00,59.4666359,24.8306286,342.23,1.42,1.9,2.12,87216,4.55,-36.27,3.3,18.2,1.79,4.03
2024-06-11T15:12:02+00:00,59.4666559,24.830629,337.57,354.74,1.87,2.08,87218,4.61,-36.65,3.3,18.2,1.7,4.06
2024-06-11T15:12:03+00:00,59.4666747,24.8306196,333.54,348.75,1.99,2.1,87220,5.14,-36.75,3.3,18.2,1.78,4.1
2024-06-11T15:12:04+00:00,59.4666934,24.8306105,329.87,344.42,2.03,2.12,87222,5.13,-34.85,3.3,18.2,1.64,4.1
2024-06-11T15:12:05+00:00,59.4667133,24.8305977,326.4,339.82,2.13,2.16,87224,5.14,-33.35,3.3,18.2,1.6,3.55
2024-06-11T15:12:06+00:00,59.4667313,24.8305833,323.68,334.81,1.99,2.12,87226,5.14,-31.79,3.4,18.2,1.45,3.27
2024-06-11T15:12:07+00:00,59.4667466,24.8305683,321.74,330.44,2.02,2.14,87228,5.13,-31.82,3.4,18.2,1.4,2.99
2024-06-11T15:12:08+00:00,59.4667628,24.8305491,319.96,328.63,2.07,2.13,87230,5.12,-30.8,3.4,18.2,1.38,2.68
