UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-06-26T15:30:00+00:00,59.4767252,24.808253,44.04,43.08,3.05,3.05,371862,6.61,-91.44,17.6,19.7,-0.89,4.19
2024-06-26T15:30:01+00:00,59.4767453,24.808292,41.7,47.34,3.19,3.19,371865,6.86,-90.35,17.5,19.7,-0.63,6.06
2024-06-26T15:30:02+00:00,59.4767634,24.8083386,40.25,52.11,3.35,3.25,371868,5.44,-88.91,17.5,19.7,1.91,10.45
2024-06-26T15:30:03+00:00,59.4767827,24.8083831,35.14,45.86,3.09,3.36,371871,4.93,-88.57,17.6,19.7,0.5,8.02
2024-06-26T15:30:04+00:00,59.4768042,24.8084202,31.47,42.26,3.1,3.08,371874,6.46,-89.34,17.5,19.7,2.13,8.45
2024-06-26T15:30:05+00:00,59.4768241,24.8084599,27.56,37.65,3.07,3.21,371877,6.45,-87.42,17.5,19.7,0.15,10.43
2024-06-26T15:30:06+00:00,59.4768485,24.8084877,24.47,29.08,3.07,3.13,371880,6.45,-85.74,17.3,19.7,1.05,11.63
2024-06-26T15:30:07+00:00,59.476871,24.8085153,26.38,29.46,2.82,2.98,371883,6.44,-83.73,17.5,19.7,1.89,13.75
2024-06-26T15:30:08+00:00,59.476895,24.8085416,24.37,26.11,2.97,3.14,371886,6.48,-80.99,17.5,19.7,-0.3,10.1
2024-06-26T15:30:09+00:00,59.4769195,24.8085617,25.74,25.94,3.06,2.95,371889,7.31,-80.76,17.3,19.7,1.38,10.87
2024-06-26T15:30:10+00:00,59.4769446,24.8085865,26.02,23.73,3.15,3.12,371892,7.26,-77.1,17.2,19.7,-0.61,10.9
2024-06-26T15:30:11+00:00,59.4769714,24.8086088,26.04,25.66,3.28,3.14,371895,7.24,-76.6,17.1,19.7,0.84,10.69
2024-06-26T15:30:12+00:00,59.4769972,24.8086375,25.74,30.01,3.29,3.26,371899,6.35,-74.31,17.2,19.7,-0.02,11.92
2024-06-26T15:30:13+00:00,59.4770235,24.8086629,27.08,22.92,3.22,3.21,371902,6.37,-72.55,17.2,19.7,0.18,10.08
2024-06-26T15:30:14+00:00,59.4770496,24.8086838,30.81,24.06,3.22,3.21,371905,6.38,-72.89,17.1,19.7,1.11,7.67
2024-06-26T15:30:15+00:00,59.4770753,24.8087106,31.48,27.94,3.46,3.2,371909,6.41,-71.97,17.1,19.7,-0.29,6.58
2024-06-26T15:30:16+00:00,59.4771003,24.8087385,33.64,31.26,3.26,3.23,371912,6.4,-71.76,16.9,19.7,-0.46,8.43
2024-06-26T15:30:17+00:00,59.4771242,24.8087747,33.78,40.21,3.29,3.35,371915,5.89,-71.94,16.9,19.7,0.89,10.35
2024-06-26T15:30:18+00:00,59.4771477,24.808808,35.86,34.68,3.29,3.23,371918,5.33,-75.02,17.1,19.7,1.46,9.73
2024-06-26T15:30:19+00:00,59.4771742,24.8088393,34.29,38.61,3.42,3.33,371922,6.01,-75.73,16.9,19.7,-1.46,8.06
2024-06-26T15:30:20+00:00,59.4771981,24.8088788,32.13,37.79,3.58,3.36,371925,6.47,-76.62,16.7,19.7,0.84,11.61
2024-06-26T15:30:21+00:00,59.4772228,24.8089138,33.72,32.28,3.31,3.46,371928,5.52,-78.26,16.8,19.7,0.24,13.14
2024-06-26T15:30:22+00:00,59.4772492,24.8089449,35.1,29.97,3.61,3.4,371932,5.5,-79.07,16.8,19.7,0.57,9.75
2024-06-26T15:30:23+00:00,59.4772743,24.8089774,37.85,33.19,3.15,3.39,371935,6.28,-80.32,16.8,19.7,0.52,7.23
2024-06-26T15:30:24+00:00,59.4772989,24.8090129,38.93,36.01,3.4,3.44,371938,6.27,-80.18,16.8,19.7,-0.87,4.9
