UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-06-12T15:30:00+00:00,59.4766566,24.8068883,230.71,241.08,1.98,2.17,101961,6.17,35.65,19.3,16.8,-1.94,-8.51
2024-06-12T15:30:01+00:00,59.4766476,24.8068545,232.28,244.51,2.15,2.32,101963,6.19,35.22,19.3,16.8,-3.19,-7.75
2024-06-12T15:30:02+00:00,59.476639,24.8068182,233.31,248.48,2.25,2.22,101965,6.21,35.87,19.3,16.8,-0.09,-8.09
2024-06-12T15:30:03+00:00,59.4766321,24.8067781,230.89,249.21,2.05,2.35,101967,6.19,35.09,19.3,16.8,-1.03,-7.75
2024-06-12T15:30:04+00:00,59.4766229,24.8067436,232.12,243.95,2.35,2.17,101970,6.19,34.49,19.5,16.8,-1.29,-7.8
2024-06-12T15:30:05+00:00,59.4766136,24.8067054,232.71,244.21,2.1,2.34,101972,6.21,33.86,19.5,16.8,-3.44,-7.12
2024-06-12T15:30:06+00:00,59.4766063,24.8066679,232.13,252.72,2.23,2.35,101974,6.21,34.84,19.5,16.8,0.8,-7.67
2024-06-12T15:30:07+00:00,59.476599,24.8066293,231.35,245.53,2.24,2.27,101976,6.21,34.01,19.5,16.8,-1.76,-7.4
2024-06-12T15:30:08+00:00,59.47659,24.8065922,232.01,243.96,2.19,2.44,101978,6.22,33.46,19.6,16.8,-3.13,-8.05
2024-06-12T15:30:09+00:00,59.4765819,24.8065546,232.04,251.43,2.48,2.31,101981,6.21,35.02,19.6,16.8,0.6,-8.81
2024-06-12T15:30:10+00:00,59.4765747,24.8065194,231.5,241.98,2.23,2.37,101983,6.21,34.18,19.8,16.8,-2.35,-8.46
2024-06-12T15:30:11+00:00,59.4765658,24.8064835,233.18,246.59,2.32,2.38,101985,6.23,34.53,19.8,16.8,-1.47,-8.38
2024-06-12T15:30:12+00:00,59.4765564,24.8064416,234.51,247.0,2.38,2.25,101988,6.31,34.43,19.8,16.8,-1.91,-7.91
2024-06-12T15:30:13+00:00,59.4765488,24.8064035,236.04,249.09,2.18,2.42,101990,6.34,34.82,19.8,16.8,-0.75,-6.98
2024-06-12T15:30:14+00:00,59.4765415,24.8063652,237.66,252.78,2.29,2.3,101992,6.59,34.34,19.9,16.8,-1.28,-5.74
2024-06-12T15:30:15+00:00,59.4765359,24.806325,237.47,256.15,2.23,2.28,101994,7.12,33.78,19.9,16.8,-0.97,-4.21
2024-06-12T15:30:16+00:00,59.4765311,24.8062847,236.13,257.1,2.22,2.37,101997,7.07,33.32,20.0,16.8,-0.01,-3.91
2024-06-12T15:30:17+00:00,59.4765247,24.8062473,235.44,249.74,2.25,2.19,101999,7.04,31.5,20.1,16.8,-0.96,-5.32
2024-06-12T15:30:18+00:00,59.4765179,24.8062083,235.56,250.36,2.2,2.37,102001,6.36,30.55,20.2,16.8,-2.41,-5.64
2024-06-12T15:30:19+00:00,59.4765094,24.8061715,237.18,247.62,2.39,2.27,102003,6.36,30.13,20.1,16.8,0.21,-7.38
2024-06-12T15:30:20+00:00,59.4765012,24.8061329,239.38,246.76,2.18,2.27,102005,6.36,29.07,20.3,16.8,-1.28,-7.46
2024-06-12T15:30:21+00:00,59.4764934,24.8060961,243.63,247.82,2.22,2.25,102008,6.4,28.75,20.4,16.8,-1.83,-6.42
2024-06-12T15:30:22+00:00,59.476486,24.8060611,251.31,244.91,2.25,2.25,102010,6.42,28.79,20.2,16.8,0.56,-4.45
2024-06-12T15:30:23+00:00,59.4764796,24.8060243,260.89,248.89,2.05,2.17,102012,7.23,27.49,20.4,16.8,-0.68,-1.22
2024-06-12T15:30:24+00:00,59.4764746,24.8059882,272.71,255.09,1.99,2.18,102014,7.27,25.29,20.5,16.8,0.01,0.96
2024-06-12T15:30:25+00:00,59.4764717,24.8059502,284.68,261.57,1.81,2.12,102016,7.23,20.6,20.5,16.8,0.61,0.44
2024-06-12T15:30:26+00:00,59.4764711,24.8059131,297.58,275.07,1.72,1.96,102018,6.49,10.89,20.5,16.8,0.67,0.62
2024-06-12T15:30:27+00:00,59.4764748,24.8058789,309.13,286.99,1.7,1.88,102019,6.51,-4.1,20.5,16.8,0.21,-0.86
2024-06-12T15:30:28+00:00,59.4764822,24.8058509,320.34,301.3,1.38,1.74,102021,6.5,-14.51,20.5,16.8,0.97,-1.14
2024-06-12T15:30:29+00:00,59.4764928,24.8058315,329.98,321.73,1.61,1.56,102022,6.46,-17.47,20.5,16.8,1.14,2.57
2024-06-12T15:30:30+00:00,59.4765053,24.8058195,338.01,338.59,1.61,1.52,102024,5.55,-23.22,20.5,16.8,1.49,6.78
2024-06-12T15:30:31+00:00,59.47652,24.8058133,343.94,353.63,1.66,1.68,102026,5.22,-31.75,20.5,16.8,0.91,9.13
2024-06-12T15:30:32+00:00,59.4765357,24.8058123,349.02,359.62,1.81,1.72,102027,5.21,-46.18,20.5,16.8,2.41,9.52
2024-06-12T15:30:33+00:00,59.4765523,24.8058176,351.07,15.17,1.82,1.89,102029,5.22,-47.1,20.5,16.8,1.68,9.99
2024-06-12T15:30:34+00:00,59.4765698,24.8058289,351.34,19.11,1.92,2.08,102031,5.23,-47.45,20.5,16.8,1.65,10.75
2024-06-12T15:30:35+00:00,59.4765871,24.8058379,353.12,14.72,2.11,2.06,102033,5.24,-47.9,20.4,16.8,2.09,11.25
2024-06-12T15:30:36+00:00,59.4766054,24.8058447,355.41,12.31,2.13,2.02,102035,5.26,-48.73,20.4,16.8,2.25,10.5
2024-06-12T15:30:37+00:00,59.4766243,24.8058535,356.82,13.43,2.12,2.13,102037,5.29,-48.71,20.4,16.8,1.21,9.99
2024-06-12T15:30:38+00:00,59.4766428,24.8058642,358.6,14.13,2.23,2.26,102039,5.35,-49.31,20.4,16.8,1.65,9.95
2024-06-12T15:30:39+00:00,59.4766622,24.8058729,0.47,11.79,2.29,2.24,102041,5.62,-50.6,20.4,16.8,1.93,9.35
2024-06-12T15:30:40+00:00,59.4766819,24.8058808,3.18,12.43,2.29,2.24,102044,5.62,-51.61,20.4,16.8,1.95,9.34
2024-06-12T15:30:41+00:00,59.4766998,24.8058897,5.21,15.7,2.33,2.27,102046,5.61,-52.3,20.4,16.8,1.51,9.49
2024-06-12T15:30:42+00:00,59.4767195,24.8059028,6.03,20.59,2.32,2.37,102048,5.6,-53.59,20.4,16.8,1.82,9.94
2024-06-12T15:30:43+00:00,59.4767256,24.8059075,8.23,16.88,2.46,2.38,102051,5.59,-54.23,20.4,16.8,1.28,9.61
2024-06-12T15:30:44+00:00,59.4767625,24.8059308,11.16,16.1,2.46,2.36,102053,5.59,-54.73,20.3,16.8,2.03,9.9
2024-06-12T15:30:45+00:00,59.476783,24.8059444,13.81,19.05,2.45,2.43,102056,5.58,-54.9,20.2,16.8,1.51,9.72
2024-06-12T15:30:46+00:00,59.4768033,24.8059578,16.79,18.41,2.36,2.4,102058,5.59,-56.11,20.2,16.8,1.68,8.74
2024-06-12T15:30:47+00:00,59.4768233,24.8059725,19.6,23.06,2.26,2.42,102060,5.61,-57.2,20.2,16.8,1.45,7.45
2024-06-12T15:30:48+00:00,59.4768429,24.8059917,20.66,26.15,2.41,2.53,102063,5.63,-58.13,20.2,16.8,0.55,6.02
2024-06-12T15:30:49+00:00,59.4768631,24.8060094,22.45,25.45,2.65,2.46,102065,5.63,-59.68,20.1,16.8,1.79,5.43
2024-06-12T15:30:50+00:00,59.4768828,24.8060323,23.33,31.04,2.51,2.51,102068,5.59,-58.74,20.1,16.8,0.71,6.02
2024-06-12T15:30:51+00:00,59.4769018,24.8060504,27.1,23.57,2.45,2.35,102070,5.04,-60.52,20.1,16.8,2.34,5.83
2024-06-12T15:30:52+00:00,59.4769211,24.806069,28.28,29.64,2.51,2.42,102073,5.03,-61.43,20.1,16.8,0.56,5.2
2024-06-12T15:30:53+00:00,59.4769392,24.8060919,28.71,33.75,2.64,2.38,102075,5.04,-62.66,19.9,16.8,1.19,5.29
2024-06-12T15:30:54+00:00,59.4769576,24.8061162,28.4,33.44,2.43,2.53,102078,5.03,-62.39,19.9,16.8,0.57,5.18
